,driverId,size
0,1,275
1,2,184
2,3,206
3,4,323
4,5,112
7,8,341
8,9,97
9,10,95
10,11,91
12,13,271
13,14,247
14,15,256
15,16,128
16,17,217
17,18,309
19,20,267
20,21,231
21,22,326
22,23,180
23,24,81
24,25,69
26,27,46
29,30,308
30,31,95
31,32,51
34,35,165
36,37,107
38,39,48
43,44,158
48,49,159
49,50,107
54,55,202
55,56,147
56,57,165
62,63,111
63,64,99
64,65,165
66,67,55
68,69,58
69,70,44
70,71,122
76,77,210
77,78,75
78,79,97
80,81,70
83,84,165
86,87,63
87,88,88
89,90,74
90,91,42
91,92,84
93,94,123
94,95,192
98,99,78
99,100,63
101,102,162
102,103,47
103,104,43
104,105,215
108,109,70
109,110,214
111,112,115
113,114,50
116,117,202
117,118,162
118,119,257
121,122,98
122,123,164
126,127,80
128,129,62
130,131,81
132,133,75
135,136,41
136,137,207
137,138,80
138,139,40
139,140,103
144,145,77
151,152,82
152,153,46
153,154,181
154,155,76
155,156,88
156,157,47
157,158,143
159,160,111
162,163,164
165,166,54
169,170,71
171,172,180
172,173,110
174,175,122
175,176,88
176,177,128
177,178,117
180,181,55
181,182,174
183,184,41
186,187,154
196,197,143
198,199,146
199,200,114
201,202,72
202,203,68
205,206,64
206,207,129
211,212,58
218,219,55
220,221,95
221,222,113
222,223,138
223,224,149
229,230,78
230,231,93
231,232,84
232,233,81
234,235,121
237,238,123
238,239,42
242,243,61
249,250,73
251,252,42
261,262,51
277,278,106
279,280,59
288,289,179
303,304,112
304,305,51
305,306,87
326,327,47
327,328,100
340,341,112
344,345,54
345,346,100
346,347,109
355,356,129
357,358,62
359,360,103
363,364,87
372,373,73
384,385,44
385,386,54
402,403,52
403,404,55
417,418,46
426,427,87
455,456,51
474,475,73
478,479,41
500,501,64
553,554,57
577,578,48
578,579,58
806,807,182
807,808,58
809,811,46
811,813,96
812,814,59
813,815,202
815,817,197
816,818,58
819,821,59
820,822,166
823,825,120
824,826,112
826,828,97
828,830,128
829,831,40
830,832,128
836,838,42
837,839,76
838,840,87
839,841,49
840,842,73
842,844,68
844,846,47
845,847,47
