,driverId,driverRef,points
0,1,hamilton,0
1,2,heidfeld,0
2,3,rosberg,0
3,4,alonso,0
4,5,kovalainen,0
5,6,nakajima,0
6,7,bourdais,0
7,8,raikkonen,0
8,9,kubica,0
9,10,glock,0
10,11,sato,0
11,12,piquet_jr,0
12,13,massa,0
13,14,coulthard,0
14,15,trulli,0
15,16,sutil,0
16,17,webber,0
17,18,button,0
18,19,davidson,0
19,20,vettel,0
20,21,fisichella,0
21,22,barrichello,0
22,23,ralf_schumacher,0
23,24,liuzzi,0
24,25,wurz,0
25,26,speed,0
26,27,albers,0
27,28,markus_winkelhock,0
28,29,yamamoto,0
29,30,michael_schumacher,0
30,31,montoya,0
31,32,klien,0
32,33,monteiro,0
33,34,ide,0
34,35,villeneuve,0
35,36,montagny,0
36,37,rosa,0
37,38,doornbos,0
38,39,karthikeyan,0
39,40,friesacher,0
40,41,zonta,0
41,42,pizzonia,0
42,43,matta,0
43,44,panis,0
44,45,pantano,0
45,46,bruni,0
46,47,baumgartner,0
47,48,gene,0
48,49,frentzen,0
49,50,verstappen,0
50,51,wilson,0
51,52,firman,0
52,53,kiesa,0
53,54,burti,0
54,55,alesi,0
55,56,irvine,0
56,57,hakkinen,0
57,58,marques,0
58,59,bernoldi,0
59,60,mazzacane,0
60,61,enge,0
61,62,yoong,0
62,63,salo,0
63,64,diniz,0
64,65,herbert,0
65,66,mcnish,0
66,67,buemi,0
67,68,takagi,0
68,69,badoer,0
69,70,zanardi,0
70,71,damon_hill,0
71,72,sarrazin,0
72,73,rosset,0
73,74,tuero,0
74,75,nakano,0
75,76,magnussen,0
76,77,berger,0
77,78,larini,0
78,79,katayama,0
79,80,sospiri,0
80,81,morbidelli,0
81,82,fontana,0
82,83,lamy,0
83,84,brundle,0
84,85,montermini,0
85,86,lavaggi,0
86,87,blundell,0
87,88,suzuki,0
88,89,inoue,0
89,90,moreno,0
90,91,wendlinger,0
91,92,gachot,0
92,93,schiattarella,0
93,94,martini,0
94,95,mansell,0
95,96,boullion,0
96,97,papis,0
97,98,deletraz,0
98,99,tarquini,0
99,100,comas,0
100,101,brabham,0
101,102,senna,0
102,103,bernard,0
103,104,fittipaldi,0
104,105,alboreto,0
105,106,beretta,0
106,107,ratzenberger,0
107,108,belmondo,0
108,109,lehto,0
109,110,cesaris,0
110,111,gounon,0
111,112,alliot,0
112,113,adams,0
113,114,dalmas,0
114,115,noda,0
115,116,lagorce,0
116,117,prost,0
117,118,warwick,0
118,119,patrese,0
119,120,barbazza,0
120,121,andretti,0
121,122,capelli,0
122,123,boutsen,0
123,124,apicella,0
124,125,naspetti,0
125,126,toshio_suzuki,0
126,127,gugelmin,0
127,128,poele,0
128,129,grouillard,0
129,130,chiesa,0
130,131,modena,0
131,132,amati,0
132,133,caffi,0
133,134,bertaggia,0
134,135,mccarthy,0
135,136,lammers,0
136,137,piquet,0
137,138,satoru_nakajima,0
138,139,pirro,0
139,140,johansson,0
140,141,bailey,0
141,142,chaves,0
142,143,bartels,0
143,144,hattori,0
144,145,nannini,0
145,146,schneider,0
146,147,barilla,0
147,148,foitek,0
148,149,langes,0
149,150,gary_brabham,0
150,151,donnelly,0
151,152,giacomelli,0
152,153,alguersuari,0
153,154,grosjean,0
154,155,kobayashi,0
155,156,palmer,0
156,157,danner,0
157,158,cheever,0
158,159,sala,0
159,160,ghinzani,0
160,161,weidler,0
161,162,raphanel,0
162,163,arnoux,0
163,164,joachim_winkelhock,0
164,165,larrauri,0
165,166,streiff,0
166,167,campos,0
167,168,schlesser,0
168,169,fabre,0
169,170,fabi,0
170,171,forini,0
171,172,laffite,0
172,173,angelis,0
173,174,dumfries,0
174,175,tambay,0
175,176,surer,0
176,177,keke_rosberg,0
177,178,jones,0
178,179,rothengatter,0
179,180,berg,0
180,181,manfred_winkelhock,0
181,182,lauda,0
182,183,hesnault,0
183,184,baldi,0
184,185,bellof,0
185,186,acheson,0
186,187,watson,0
187,188,cecotto,0
188,189,gartner,0
189,190,corrado_fabi,0
190,191,thackwell,0
191,192,serra,0
192,193,sullivan,0
193,194,salazar,0
194,195,guerrero,0
195,196,boesel,0
196,197,jarier,0
197,198,villeneuve_sr,0
198,199,reutemann,0
199,200,mass,0
200,201,borgudd,0
201,202,pironi,0
202,203,gilles_villeneuve,0
203,204,paletti,0
204,205,henton,0
205,206,daly,0
206,207,mario_andretti,0
207,208,villota,0
208,209,lees,0
209,210,byrne,0
210,211,keegan,0
211,212,rebaque,0
212,213,gabbiani,0
213,214,cogan,0
214,215,guerra,0
215,216,stohr,0
216,217,zunino,0
217,218,londono,0
218,219,jabouille,0
219,220,francia,0
220,221,depailler,0
221,222,scheckter,0
222,223,regazzoni,0
223,224,emerson_fittipaldi,0
224,225,kennedy,0
225,226,south,0
226,227,needell,0
