,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time_x,milliseconds,fastestLap,fastestLapSpeed,year,circuitId,driverRef
0,1,18,1,1,22.0,1,1.0,1,1,25.0,58,1:34:50.616,5690616.0,39.0,218.3,2008,1,hamilton
1,2,18,2,2,3.0,5,2.0,2,2,20.0,58,+5.478,5696094.0,41.0,217.586,2008,1,heidfeld
2,3,18,3,3,7.0,7,3.0,3,3,15.0,58,+8.163,5698779.0,41.0,216.719,2008,1,rosberg
3,4,18,4,4,5.0,11,4.0,4,4,12.5,58,+17.181,5707797.0,58.0,215.464,2008,1,alonso
4,5,18,5,1,23.0,3,5.0,5,5,10.0,58,+18.014,5708630.0,43.0,218.385,2008,1,kovalainen
5,6,18,6,3,8.0,13,6.0,6,6,7.5,57,,,50.0,212.974,2008,1,nakajima
6,7,18,7,5,14.0,17,7.0,7,7,5.0,55,,,22.0,213.224,2008,1,bourdais
7,8,18,8,6,1.0,15,8.0,8,8,2.5,53,,,20.0,217.18,2008,1,raikkonen
8,9,18,9,2,4.0,2,,R,9,0.0,47,,,15.0,215.1,2008,1,kubica
9,10,18,10,7,12.0,18,,R,10,0.0,43,,,23.0,213.166,2008,1,glock
10,11,18,11,8,18.0,19,,R,11,0.0,32,,,24.0,210.038,2008,1,sato
11,12,18,12,4,6.0,20,,R,12,0.0,30,,,20.0,208.907,2008,1,piquet_jr
12,13,18,13,6,2.0,4,,R,13,0.0,29,,,23.0,216.51,2008,1,massa
13,14,18,14,9,9.0,8,,R,14,0.0,25,,,21.0,213.3,2008,1,coulthard
14,15,18,15,7,11.0,6,,R,15,0.0,19,,,18.0,213.758,2008,1,trulli
15,16,18,16,10,20.0,22,,R,16,0.0,8,,,8.0,207.461,2008,1,sutil
16,17,18,17,9,10.0,14,,R,17,0.0,0,,,,,2008,1,webber
17,18,18,18,11,16.0,12,,R,18,0.0,0,,,,,2008,1,button
18,19,18,19,8,19.0,21,,R,19,0.0,0,,,,,2008,1,davidson
19,20,18,20,5,15.0,9,,R,20,0.0,0,,,,,2008,1,vettel
20,21,18,21,10,21.0,16,,R,21,0.0,0,,,,,2008,1,fisichella
21,22,18,22,11,17.0,10,,D,22,0.0,58,,,44.0,215.141,2008,1,barrichello
22,23,19,8,6,1.0,2,1.0,1,1,25.0,56,1:31:18.555,5478555.0,37.0,209.158,2008,2,raikkonen
23,24,19,9,2,4.0,4,2.0,2,2,20.0,56,+19.570,5498125.0,39.0,208.033,2008,2,kubica
24,25,19,5,1,23.0,8,3.0,3,3,15.0,56,+38.450,5517005.0,19.0,208.031,2008,2,kovalainen
25,26,19,15,7,11.0,3,4.0,4,4,12.5,56,+45.832,5524387.0,53.0,207.715,2008,2,trulli
26,27,19,1,1,22.0,9,5.0,5,5,10.0,56,+46.548,5525103.0,53.0,209.033,2008,2,hamilton
27,28,19,2,2,3.0,5,6.0,6,6,7.5,56,+49.833,5528388.0,55.0,209.244,2008,2,heidfeld
28,29,19,17,9,10.0,6,7.0,7,7,5.0,56,+1:08.130,5546685.0,53.0,206.366,2008,2,webber
29,30,19,4,4,5.0,7,8.0,8,8,2.5,56,+1:10.041,5548596.0,40.0,207.24,2008,2,alonso
30,31,19,14,9,9.0,12,9.0,9,9,0.0,56,+1:16.220,5554775.0,55.0,207.417,2008,2,coulthard
31,32,19,18,11,16.0,11,10.0,10,10,0.0,56,+1:26.214,5564769.0,56.0,208.481,2008,2,button
32,33,19,12,4,6.0,13,11.0,11,11,0.0,56,+1:32.202,5570757.0,52.0,205.812,2008,2,piquet_jr
33,34,19,21,10,21.0,17,12.0,12,12,0.0,55,,,52.0,205.8,2008,2,fisichella
34,35,19,22,11,17.0,14,13.0,13,13,0.0,55,,,55.0,206.372,2008,2,barrichello
35,36,19,3,3,7.0,16,14.0,14,14,0.0,55,,,55.0,206.182,2008,2,rosberg
36,37,19,19,8,19.0,21,15.0,15,15,0.0,55,,,55.0,203.265,2008,2,davidson
37,38,19,11,8,18.0,19,16.0,16,16,0.0,54,,,53.0,202.578,2008,2,sato
38,39,19,6,3,8.0,22,17.0,17,17,0.0,54,,,19.0,204.222,2008,2,nakajima
39,40,19,20,5,15.0,15,,R,18,0.0,39,,,37.0,205.995,2008,2,vettel
40,41,19,13,6,2.0,1,,R,19,0.0,30,,,15.0,208.048,2008,2,massa
41,42,19,16,10,20.0,20,,R,20,0.0,5,,,3.0,198.891,2008,2,sutil
42,43,19,10,7,12.0,10,,R,21,0.0,1,,,,,2008,2,glock
43,44,19,7,5,14.0,18,,R,22,0.0,0,,,,,2008,2,bourdais
44,45,20,13,6,2.0,2,1.0,1,1,25.0,57,1:31:06.970,5466970.0,38.0,208.153,2008,3,massa
45,46,20,8,6,1.0,4,2.0,2,2,20.0,57,+3.339,5470309.0,35.0,207.911,2008,3,raikkonen
